IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UUID_TRACADO|TRACADO_ETIQUETA|UF|MUNICIPIO|ARMARIO|TIPO_REDE
CBL0000000002102381|PT2161|LOC0000000001799037|Poste|-29.769610500|-57.094471500|Aerial|Autossustentável|38.960000000|38.960000000|PT2162|LOC0000000001799039|Poste|-29.769611300|-57.094068600|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091493|PT2161 >> PT2162|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT3265|LOC0000000001801246|Poste|-29.769596900|-57.092184500|Aerial|Autossustentável|38.190000000|38.190000000|PT3264|LOC0000000001801244|Poste|-29.769593300|-57.091789600|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091500|PT3265 >> PT3264|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT3262|LOC0000000001801240|Poste|-29.769599100|-57.092552000|Aerial|Autossustentável|35.540000000|35.540000000|PT3265|LOC0000000001801246|Poste|-29.769596900|-57.092184500|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091499|PT3262 >> PT3265|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2155|LOC0000000001799025|Poste|-29.769601400|-57.095219700|Aerial|Autossustentável|41.420000000|41.420000000|PT2156|LOC0000000001799027|Poste|-29.769606600|-57.094791400|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091480|PT2155 >> PT2156|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2150|LOC0000000001799015|Poste|-29.769600900|-57.092805900|Aerial|Autossustentável|24.560000000|24.560000000|PT3262|LOC0000000001801240|Poste|-29.769599100|-57.092552000|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091498|PT2150 >> PT3262|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2159|LOC0000000001799033|Poste|-29.769609300|-57.093825500|Aerial|Autossustentável|30.420000000|30.420000000|PT2160|LOC0000000001799035|Poste|-29.769606700|-57.093511000|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091495|PT2159 >> PT2160|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2155|LOC0000000001799025|Poste|-29.769601400|-57.095219700|Aerial|Autossustentável|11.920000000|11.920000000|PT2347|LOC0000000001799409|Poste|-29.769694800|-57.095158600|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002093198|PT2155 >> PT2347|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2342|LOC0000000001799399|Poste|-29.770555600|-57.095133800|Aerial|Autossustentável|95.450000000|95.450000000|PT2347|LOC0000000001799409|Poste|-29.769694800|-57.095158600|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091477|PT2342 >> PT2347|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2149|LOC0000000001799013|Poste|-29.769604000|-57.093183900|Aerial|Autossustentável|36.560000000|36.560000000|PT2150|LOC0000000001799015|Poste|-29.769600900|-57.092805900|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091497|PT2149 >> PT2150|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2160|LOC0000000001799035|Poste|-29.769606700|-57.093511000|Aerial|Autossustentável|31.630000000|31.630000000|PT2149|LOC0000000001799013|Poste|-29.769604000|-57.093183900|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091496|PT2160 >> PT2149|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002102381|PT2162|LOC0000000001799039|Poste|-29.769611300|-57.094068600|Aerial|Autossustentável|23.510000000|23.510000000|PT2159|LOC0000000001799033|Poste|-29.769609300|-57.093825500|EQP0000000002101781|I01G0440|LOC0000000001801244|Poste|PT3264|-29.769593300|-57.091789600|EQP0000000002101945|I01G0439|LOC0000000001799399|Poste|PT2342|-29.770555600|-57.095133800|ROT0000000002091494|PT2162 >> PT2159|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000017314663|PT1534|LOC0000000001797782|Poste|-29.752524900|-57.085316700|Aerial|Autossustentável|32.290000000|32.290000000|PT1533|LOC0000000001797780|Poste|-29.752525500|-57.084982900|EQP0000000002631311|RSUGNHUB-50|LOC0000000001797782|Poste|PT1534|-29.752524900|-57.085316700|EQP0000000017314235|I01GPF1421|LOC0000000002188423|MDU|1552_97501600|-29.753061600|-57.085037900|ROT0000000002631242|PT1534 >> PT1533|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000017314663|PT1181|LOC0000000001797076|Poste|-29.752954100|-57.084793500|Aerial|Autossustentável|28.920000000|28.920000000|PT1184|LOC0000000001797082|Poste|-29.752693300|-57.084801700|EQP0000000002631311|RSUGNHUB-50|LOC0000000001797782|Poste|PT1534|-29.752524900|-57.085316700|EQP0000000017314235|I01GPF1421|LOC0000000002188423|MDU|1552_97501600|-29.753061600|-57.085037900|ROT0000000002085223|PT1181 >> PT1184|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000017314663|PT1533|LOC0000000001797780|Poste|-29.752525500|-57.084982900|Aerial|Autossustentável|25.560000000|25.560000000|PT1184|LOC0000000001797082|Poste|-29.752693300|-57.084801700|EQP0000000002631311|RSUGNHUB-50|LOC0000000001797782|Poste|PT1534|-29.752524900|-57.085316700|EQP0000000017314235|I01GPF1421|LOC0000000002188423|MDU|1552_97501600|-29.753061600|-57.085037900|ROT0000000002679655|PT1533 >> PT1184|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT3776|LOC0000000001802268|Poste|-29.766833300|-57.092594100|Aerial|Autossustentável|39.890000000|39.890000000|PT3797|LOC0000000001802310|Poste|-29.766835200|-57.093006600|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146826|PT3776 >> PT3797|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
