UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 1|CBL0000000121434962|OK|SP1-SP20;SP26-SP51;SP57-SP67;SP72-SP101;SP105-SP108;SP114-SP122|100||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 1|CBL0000000121435012|OK|SP85-SP88|4||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121411317|OK|SP179-SP182|4||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121411517|OK|SP145-SP154;SP159-SP162|14||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121411542|OK|SP163-SP165;SP168-SP174|10||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121413205|OK|SP145-SP154|10||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121414761|OK|SP145-SP150|6||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121415021|OK|SP145-SP147|3||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121416974|OK|SP163-SP165|3||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121416979|OK|SP168-SP170|3||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121418784|OK|SP210-SP218;SP223-SP226;SP231-SP234;SP239-SP242|21||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121418809|OK|SP243-SP249;SP254-SP257|11||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121418824|OK|SP262-SP265|4||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121420639|OK|SP243-SP249|7||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121423662|OK|SP243-SP245|3||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121425237|OK|SP210-SP218;SP223-SP226;SP231-SP234|17||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121425542|OK|SP210-SP218;SP223-SP226|13||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121425547|OK|SP231|1||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121426757|OK|SP210-SP218|9||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121427062|OK|SP212-SP214|3||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121427067|OK|SP210-SP211|2||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121428692|OK|SP272-SP279|8||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121430062|OK|SP272-SP276|5||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436237|OK|SP145-SP154;SP159-SP165;SP168-SP174;SP179-SP186;SP191-SP198;SP202-SP205;SP210-SP218;SP223-SP226;SP231-SP234;SP239-SP249;SP254-SP257;SP262-SP265;SP272-SP279;SP285-SP288|92||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436257|OK|SP145-SP154;SP159-SP165;SP168-SP174;SP179-SP186;SP191-SP198;SP202-SP205|44||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436262|OK|SP210-SP218;SP223-SP226;SP231-SP234;SP239-SP249;SP254-SP257;SP262-SP265|36||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436267|OK|SP272-SP279;SP285-SP288|12||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436272|OK|SP145-SP154;SP159-SP165;SP168-SP174;SP179-SP186;SP191-SP198|40||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436307|OK|SP145-SP154;SP159-SP165;SP168-SP174;SP179-SP186|32||0
PI|TERESINA|PITSA_G1I19|BARRAMENTO|TR 2|CBL0000000121436312|OK|SP191-SP194|4||0
PI|TERESINA|PITSA_G1I17|BARRAMENTO|TR 1|CBL0000000121415879|NOK||0|F104|1
PI|TERESINA|PITSA_G1I17|BARRAMENTO|TR 1|CBL0000000121417669|NOK||0|F104|1
PI|TERESINA|PITSA_G1I17|BARRAMENTO|TR 1|CBL0000000153236747|NOK||0|F104|1
PI|TERESINA|PITSA_G1I17|BARRAMENTO|TR 1|CBL0000000153237277|NOK||0|F104|1
PI|TERESINA|PITSA_G1I17|BARRAMENTO|TR 1|CBL0000000153254801|NOK||0|F104|1
